City,Neighborhood,Lat,Lng
Casablanca,Bournazil,33.5698647,-7.5577663
Casablanca,Hay Chrifa,33.535032,-7.6099651
Casablanca,Sidi Belyout,33.6014716,-7.6019398
Casablanca,C.I.L,33.5673558,-7.6562059
Casablanca,Hay Sadri,33.5722123,-7.5540572
Casablanca,Hay Moulay Rachid 4,33.2715256,-7.5654525
Casablanca,Hay Laymouna,,
Casablanca,Al Mostakbal,33.2412383,-8.5288834
Casablanca,Ben Ejdia,,
Casablanca,Hay Al Amal,33.2387898,-8.5253645
Casablanca,Hay Albaraka,,
Casablanca,Route d'Azemmour,33.5557522,-7.7293614
Casablanca,Hay Moulay Rachid 5,33.2715256,-7.5654525
Casablanca,Fonciere,33.5909831,-7.6206687
Casablanca,Hay Almassira 1,,
Casablanca,Hay Almassira 3,,
Casablanca,Hay El Farah,33.5682583,-7.5871927
Casablanca,Hay Moulay Rachid 6,33.2715256,-7.5654525
Casablanca,Hay Moulay Rachid 1,33.2715256,-7.5654525
Casablanca,Alsace Lorraine,33.5881538,-7.6125987
Casablanca,Lusitania,,
Casablanca,Hermitage,33.5666079,-7.6209496
Casablanca,Hay Rajaa,,
Casablanca,Zone Industrielle Moulay Rachid,,
Casablanca,Habous,33.5745744,-7.5970263
Casablanca,Hay Mansour,,
Casablanca,Les Cretes,33.5495136,-7.624092
Casablanca,Al Batha,,
Casablanca,Val d'Anfa,33.5949159,-7.6543731
Casablanca,El Manar El Hank,,
Casablanca,Hay Hana,33.5773715,-7.665022
Casablanca,Tantonville,,
Casablanca,Florida,33.5815018,-7.5626989
Casablanca,Hay Alfalah,,
